feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Escherichia coli,10478.0,0.8577436662997168,-0.012318245495386737,2.850316343776414,2.7579142349796153,2.3695354313576296,2.4266701120780283,-0.0475444534416849,0.9881839473499041
CAG-177 sp003514385,10482.0,0.8533131978417957,-0.012704700256026324,0.5319969178228221,0.5602553387088715,1.5765837242994447,1.5231723506291193,0.07466660384435216,0.9881839473499041
Klebsiella quasipneumoniae,10488.0,0.8466762043524465,-0.013284382396985706,0.046251284251549146,0.02287684548802838,0.39098544482194875,0.5018620098613251,-1.0156052622681928,0.9881839473499041
CAG-177 sp002438685,10479.0,0.8566356233116739,-0.012414859185546634,0.4935847955503844,0.3470394457875165,1.5931106426629462,1.6146055107493886,-0.508198298793459,0.9881839473499041
Caulobacter sp003931565,10209.0,0.8422575464607491,0.013670837157625182,-0.34541190207822625,-0.24004117069931244,0.6083388949154998,1.549764678236233,-0.525035926295752,0.9881839473499041
Avimicrobium caecorum,10217.0,0.8510996884270978,0.012897927636346118,1.7260560951136277,1.938774153714696,2.7752974743733567,2.7952660262254074,0.16766540328465415,0.9881839473499041
PeH17 sp000435055,10215.0,0.8488873515981075,0.013091155016665912,-0.14310138153024152,-0.06203328476902952,-0.4235313098243836,-0.8567185115387463,-1.205923188155786,0.9881839473499041
Prevotella sp003447235,10479.0,0.8566356233116739,-0.012414859185546634,0.25151501290935885,0.23072617000226267,1.3004218811705126,1.0100317896379156,-0.12446286614962566,0.9881839473499041
RUG11247 sp902767315,10470.0,0.8666179233222925,-0.011545335974107562,-0.17702988182703547,-0.31806400800031126,1.4809880093513819,1.286381712510524,0.845324228788587,0.988487714075743
Avanaerovorax faecigallinarum,10444.0,0.8955698689526231,-0.009033380029950244,-1.0548803505356896,-1.0053043691478767,-2.0502312489233407,-1.7494440621105731,-0.069447008579773,0.988487714075743
Olsenella_I phocaeensis,10474.0,0.8621786204439568,-0.01193179073474715,0.010785026057361792,0.011201354153533256,1.628535022866986,1.6235538147545903,0.05464348591671294,0.988487714075743
Peptococcus niger,10462.0,0.875509025426946,-0.010772426452828388,-0.13982854105988618,-0.13672761236971054,1.5685165476792182,1.598177869900356,-0.032354239220636745,0.988487714075743
Clostridium paraputrificum,10249.0,0.8866449095830184,0.009806289551229419,-0.3466667273118727,-0.2509194884140014,-0.3546234694250803,0.44315788657648625,-0.4663248501704843,0.988487714075743
Gallispira edinburgensis,10251.0,0.8888748472987964,0.009613062170909625,-1.109981627088581,-1.157629920477791,-2.4642404938946108,-2.5290248205911574,0.0606383192402291,0.988487714075743
Scatavimonas merdipullorum,10458.0,0.8799605487416986,-0.0103859716921888,-0.39423631416790417,-0.3470826303335598,1.457412985955438,1.3589512955652996,-0.18378150587424483,0.988487714075743
Megasphaera elsdenii,10230.0,0.8655076974140576,0.01164194966426746,0.2877381998432432,0.3602799558947036,1.4809880093513819,1.5582856363163966,0.32436162434878446,0.988487714075743
Klebsiella variicola,10444.0,0.8955698689526231,-0.009033380029950244,0.5444597722785949,0.4909322815064703,1.3988008409916315,1.3610180933845655,-0.1493014232606759,0.988487714075743
Akkermansia muciniphila_B,10253.0,0.8911056647259686,0.009419834790589832,0.7775745237523436,0.8041109006912326,1.5710354633601753,1.6140331213629988,0.04841353583068287,0.988487714075743
CAG-266 sp000436095,10470.0,0.8666179233222925,-0.011545335974107562,0.6450373957743851,0.7278347396499887,1.7116749246065517,1.6967860200617295,0.17422810999219837,0.988487714075743
Alistipes_A sp900539755,10238.0,0.8743967541107602,0.010869040142988284,-0.7159660969004279,-0.6980991259880063,-0.8886983872567917,-0.985336348625049,-0.036459368078813864,0.988487714075743
Cellulosilyticum lentocellum,10250.0,0.8877597673880853,0.009709675861069522,-0.9234263228000786,-0.7807317978170474,-1.8630571370106885,-1.5730352369771392,-0.2421698288406321,0.988487714075743
