epithet,taxon_full,mean_flux,pathway,genus_micom,genus_shap,species,mean_shap,model,metabolite,kegg_id,display_species,genus_confirmed
sp002359025,,,,,UBA3379,UBA3379 sp002359025,0.0076721950738854,SVR,GABA,C00334,UBA3379 sp002359025,False
sp002431975,,,,,UBA5884,UBA5884 sp002431975,0.0048977951955768,SVR,GABA,C00334,UBA5884 sp002431975,False
sp002438685,,,,,CAG-177,CAG-177 sp002438685,0.0040892515454902,SVR,GABA,C00334,CAG-177 sp002438685,False
sp003445125,,,,,UBA11540,UBA11540 sp003445125,0.0046548477878681,SVR,GABA,C00334,UBA11540 sp003445125,False
sp014323405,,,,,GCA-900066495,GCA-900066495 sp014323405,0.0040607165765345,SVR,GABA,C00334,GCA-900066495 sp014323405,False
sp017483765,,,,,UBA3839,UBA3839 sp017483765,0.0061154371328831,SVR,GABA,C00334,UBA3839 sp017483765,False
sp900539345,,,,,UMGS124,UMGS124 sp900539345,0.0084882893939769,SVR,GABA,C00334,UMGS124 sp900539345,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0048746205880466,SVR,GABA,C00334,CAG-488 sp900539465,False
splanchnicus,Odoribacter splanchnicus,34.63297063282564,Other,Odoribacter,,,,,GABA,C00334,Odoribacter splanchnicus,False
thermophilus,Streptococcus thermophilus,85.06807800928102,Other,Streptococcus,,,,,GABA,C00334,Streptococcus thermophilus,False
aalborgi,,,,,Brachyspira,Brachyspira aalborgi,0.0107419889766393,SVR,Urea,C00086,Brachyspira aalborgi,False
amylolyticus,,,,,Lactobacillus,Lactobacillus amylolyticus,0.010829828836231,SVR,Urea,C00086,Lactobacillus amylolyticus,False
avistercoris,,,,,Alistipes,Alistipes avistercoris,0.0061824610695236,SVR,Urea,C00086,Alistipes avistercoris,True
cellulosilyticus,Bacteroides cellulosilyticus,21.449440036320784,Other,Bacteroides,,,,,Urea,C00086,Bacteroides cellulosilyticus,False
coli,,,,,Escherichia,Escherichia coli,0.0097642734369946,SVR,Urea,C00086,Escherichia coli,False
eggerthii,Bacteroides eggerthii,14.016953520494877,Other,Bacteroides,,,,,Urea,C00086,Bacteroides eggerthii,False
hypermegale,Megamonas hypermegale,46.947269090280145,Other,Megamonas,,,,,Urea,C00086,Megamonas hypermegale,False
intestinigallinarum,,,,,Duodenibacillus,Duodenibacillus intestinigallinarum,0.005827430585317,SVR,Urea,C00086,Duodenibacillus intestinigallinarum,False
merdae,Parabacteroides merdae,73.09448505145534,Other,Parabacteroides,,,,,Urea,C00086,Parabacteroides merdae,False
ovatus,Bacteroides ovatus,9.850883781701333,Other,Bacteroides,,,,,Urea,C00086,Bacteroides ovatus,False
oxytoca,Klebsiella oxytoca,0.16927156138024313,Other,Klebsiella,,,,,Urea,C00086,Klebsiella oxytoca,False
prausnitzii,Faecalibacterium prausnitzii,19.950480580956903,Other,Faecalibacterium,,,,,Urea,C00086,Faecalibacterium prausnitzii,False
pullicola,,,,,Egerieicola,Egerieicola pullicola,0.0105766654705261,SVR,Urea,C00086,Egerieicola pullicola,False
saudiense,,,,,Clostridium,Clostridium saudiense,0.0061962413557803,SVR,Urea,C00086,Clostridium saudiense,False
sp000437735,,,,,Lachnospira,Lachnospira sp000437735,0.0083053543389415,SVR,Urea,C00086,Lachnospira sp000437735,False
sp000758905,,,,,S5-A14a,S5-A14a sp000758905,0.0108114632342709,SVR,Urea,C00086,S5-A14a sp000758905,False
sp900539465,,,,,CAG-488,CAG-488 sp900539465,0.0113858399288284,SVR,Urea,C00086,CAG-488 sp900539465,False
sp900541465,,,,,Fusobacterium_B,Fusobacterium_B sp900541465,0.0074068358260236,SVR,Urea,C00086,Fusobacterium_B sp900541465,False
sp900544555,,,,,UMGS693,UMGS693 sp900544555,0.0087048350980499,SVR,Urea,C00086,UMGS693 sp900544555,False
sp900757865,,,,,Sutterella,Sutterella sp900757865,0.006828729353416,SVR,Urea,C00086,Sutterella sp900757865,False
sp900766045,,,,,Eubacterium_T,Eubacterium_T sp900766045,0.0102385877197254,SVR,Urea,C00086,Eubacterium_T sp900766045,False
sp900766315,,,,,Clostridium,Clostridium sp900766315,0.0056980861183067,SVR,Urea,C00086,Clostridium sp900766315,False
sp903789375,,,,,CAIFEB01,CAIFEB01 sp903789375,0.0090686991455671,SVR,Urea,C00086,CAIFEB01 sp903789375,False
timonensis,,,,,Alloprevotella,Alloprevotella timonensis,0.0058591242919375,SVR,Urea,C00086,Alloprevotella timonensis,False
turicensis,,,,,Pauljensenia,Pauljensenia turicensis,0.0068662336842133,SVR,Urea,C00086,Pauljensenia turicensis,False
uniformis,Bacteroides uniformis,4.514056802123111,Other,Bacteroides,,,,,Urea,C00086,Bacteroides uniformis,False
virosa,Butyricimonas virosa,28.5455554678,Other,Butyricimonas,,,,,Urea,C00086,Butyricimonas virosa,False
xylanisolvens,Bacteroides xylanisolvens,26.22051560247263,Other,Bacteroides,,,,,Urea,C00086,Bacteroides xylanisolvens,False
bartlettii,Intestinibacter bartlettii,35.5808918328032,Other,Intestinibacter,,,,,Riboflavin,C00255,Intestinibacter bartlettii,True
