feature,U,pval,effect_size,mean_g1,mean_g2,median_g1,median_g2,log2FC,qval
Lactobacillus porci,3670.0,0.8810247833185809,-0.013952203343003067,-0.07455582734489544,-0.6111034388404715,1.5895565164585488,-1.8986395002374916,3.0350235922021267,0.9798124456587263
Fretibacterium fastidiosum,3547.0,0.8293579016811744,0.020030390937974873,-0.6453337286340931,-0.5696614342692374,-0.7032904251892482,1.2883084784647796,-0.17994069085992606,0.9798124456587263
UBA11540 sp003445125,3571.0,0.8857504508754885,0.013399640834369397,-0.674762262522788,-0.767373597143528,-1.204979416463683,-1.5067731603587138,0.18554983738501285,0.9798124456587263
SIG291 sp015057605,3560.0,0.8598140385948705,0.01643873463185519,-0.771164613669942,-0.939867999727603,-1.5530792353514844,-2.01916445222062,0.2854192989361147,0.9798124456587263
Scatavimonas sp900540275,3563.0,0.866873836370899,0.015609890868904519,-0.8483835814296052,-0.9821222658323642,-1.9001858673455914,-1.9166072656748643,0.21118593816382902,0.9798124456587263
Senegalimassilia anaerobia,3676.0,0.866873836370899,-0.01560989086890463,-0.29510252861803526,-0.5192982375009404,1.0586381125206916,-1.3881316194813955,0.8153470483234668,0.9798124456587263
Cryptobacteroides merdigallinarum,3681.0,0.8551136882600343,-0.01699129714048908,-0.880760733232868,-1.0163186861448466,-1.8332709497193562,-1.8001938640086337,0.20653080178416983,0.9798124456587263
Desulfovibrio desulfuricans_A,3564.0,0.8692294930891438,0.015333609614587629,0.370699673288795,0.28801231879336453,1.666382549297328,1.5600992833202305,-0.3641203229490461,0.9798124456587263
Avimicrobium caecorum,3684.0,0.8480728426106713,-0.017820140903439752,1.7260560951136277,1.5254773150283667,2.7752974743733567,2.5427063733200423,-0.17821862519100146,0.9798124456587263
46-32 sp003243445,3556.0,0.8504184734206045,0.01754385964912286,-0.3100830218842361,-0.26068492115193315,1.2894673708320674,1.6634807935261762,-0.2503474012614354,0.9798124456587263
Ligilactobacillus ruminis,3683.0,0.8504184734206045,-0.01754385964912286,-0.5714116035750624,-0.6482140458471882,-1.1462038880416934,-0.6761880398873661,0.18193994920110468,0.9798124456587263
UMGS75 sp900538885,3695.0,0.8223640887253901,-0.020859234700925544,-0.7072523203053603,-0.6703781150357659,-0.9687771560710647,-0.5116518601768867,-0.07724995282386507,0.9798124456587263
