met_name,met_base,taxon,pathway,stage,mean_flux,std_flux,n_samples,taxon_full,da_early,da_adv
Phenylalanine,phe_L,prausnitzii,Other,Healthy,88.20587923475537,,1,Faecalibacterium prausnitzii,True,False
Uridine,uri,onderdonkii,Other,Healthy,87.22735745123182,20.651908001828474,38,Alistipes onderdonkii,True,False
Uridine,uri,faecis,Other,Healthy,87.1553003152905,20.063777910973716,54,faecis,False,True
Ornithine,orn,faecis,Polyamine,Healthy,86.65145895542479,17.716042345044137,87,faecis,False,True
Indole,indole,onderdonkii,Other,Healthy,83.84139449237372,30.827677507795247,31,Alistipes onderdonkii,True,False
Indole,indole,hadrus,Other,Healthy,83.49255062698218,36.518891427318366,6,Anaerostipes hadrus,False,True
Ammonium,nh4,intestinihominis,Other,Healthy,83.43988577910308,7.302416840441429,6,intestinihominis,True,False
Proline,pro_L,intestini,Amino Acid,Healthy,83.10354778828264,,1,intestini,True,False
Guanine,gua,faecis,Other,Healthy,82.01040274432785,25.436263876626303,33,faecis,False,True
Glycine,gly,bifidum,Amino Acid,Healthy,81.85248763922353,23.362084613443113,10,Bifidobacterium bifidum,False,True
Asparagine,asn_L,hadrus,Other,Healthy,80.0,,1,Anaerostipes hadrus,False,True
Adenosine,adn,onderdonkii,Other,Healthy,79.12479954803801,27.529458658542467,23,Alistipes onderdonkii,True,False
Uridine,uri,intestinihominis,Other,Healthy,76.2121072669682,32.84634921426271,5,intestinihominis,True,False
Glycine,gly,prausnitzii,Amino Acid,Healthy,72.29893116291625,23.62178094517071,11,Faecalibacterium prausnitzii,True,False
Formate,for,intestini,Other,Healthy,71.19785461641465,,1,intestini,True,False
Alanine,ala_L,intestini,Amino Acid,Healthy,70.71122691108891,25.604570851684926,7,intestini,True,False
Phosphate,pi,onderdonkii,Other,Healthy,70.53982932214198,26.07276225605286,72,Alistipes onderdonkii,True,False
Acetaldehyde,acald,bifidum,Other,Healthy,70.53027972914042,,1,Bifidobacterium bifidum,False,True
5mthf,5mthf,bifidum,Other,Healthy,69.7674418605751,,1,Bifidobacterium bifidum,False,True
Lysine,lys_L,bifidum,Amino Acid,Healthy,69.71535729221854,37.12727758431911,15,Bifidobacterium bifidum,False,True
Uridine,uri,bifidum,Other,Healthy,68.93352313028014,29.507184847826338,7,Bifidobacterium bifidum,False,True
Water,h2o,intestini,Other,Healthy,68.67364194767796,32.28818659700273,4,intestini,True,False
Deoxyadenosine,dad_2,onderdonkii,Other,Healthy,68.22267073234725,38.64229153874123,50,Alistipes onderdonkii,True,False
Phenylalanine,phe_L,bifidum,Other,Healthy,67.88845929585418,37.65192704146677,10,Bifidobacterium bifidum,False,True
