Polyamine,KEGG,Species,Interaction_coef,Interaction_pval,N,Interaction_qval
Spermine,C00750,Lachnospira sp900316325,-0.00432049255072347,0.7356813796740334,347,0.9873954788693271
Spermine,C00750,Copromonas sp900066535,-0.020240834878909743,0.1094366755155931,347,0.9873954788693271
Spermine,C00750,CAG-217 sp000436335,-0.018143446541790273,0.16549857303659282,347,0.9873954788693271
Spermine,C00750,Faecousia sp003525905,-0.014609846134561049,0.28190808190899436,347,0.9873954788693271
Spermine,C00750,Copromonas sp000435795,0.012628369407442861,0.35160756925675596,347,0.9873954788693271
Spermine,C00750,Bariatricus comes,-0.011666144187379905,0.356656049458969,347,0.9873954788693271
Spermine,C00750,Alistipes finegoldii,0.012089703132695181,0.3398120397897266,347,0.9873954788693271
Spermine,C00750,Anaerobutyricum soehngenii,-0.0051546457275581815,0.7066356449100306,347,0.9873954788693271
Spermine,C00750,Enterocloster sp900541315,-0.015780844603824583,0.20702891590845016,347,0.9873954788693271
Spermine,C00750,Prevotella sp900765465,-0.028346045610409452,0.024288055759343175,347,0.9873954788693271
Spermine,C00750,Escherichia ruysiae,-0.019078713663808762,0.17539113897376996,347,0.9873954788693271
Spermine,C00750,Roseburia hominis,-0.011750132611844748,0.36484229302249804,347,0.9873954788693271
Spermine,C00750,Paraprevotella clara,-0.006442970347564476,0.6109251919082648,347,0.9873954788693271
Spermine,C00750,Prevotella sp900550035,-0.007884050127906342,0.5422974366239773,347,0.9873954788693271
Spermine,C00750,Ruminococcus_E sp003526955,0.011609331588862579,0.40787947478776787,347,0.9873954788693271
Spermine,C00750,Eisenbergiella sp900066775,0.003823083217143051,0.7774079062778259,347,0.9873954788693271
Spermine,C00750,Lachnospira sp003537285,-0.007807654504126716,0.5605665739240588,347,0.9873954788693271
Spermine,C00750,Lawsonibacter sp900066825,-0.0019551071283667077,0.883915061889593,347,0.9873954788693271
Spermine,C00750,Blautia_A wexlerae,0.009967904383673966,0.4505983721972203,347,0.9873954788693271
Spermine,C00750,Roseburia sp900542495,-0.016085153955223242,0.21828360194638857,347,0.9873954788693271
Spermine,C00750,Bacteroides xylanisolvens,0.01182120353316771,0.3759336858516401,347,0.9873954788693271
Spermine,C00750,Bifidobacterium bifidum,0.012886656148087728,0.32882876744201783,347,0.9873954788693271
Spermine,C00750,Oliverpabstia intestinalis,-0.005882873404051655,0.6583667091917713,347,0.9873954788693271
Spermine,C00750,Bacteroides sp900755095,-0.0026279695798106994,0.8501298001703801,347,0.9873954788693271
Spermine,C00750,Bacteroides salyersiae,-0.020185749377533518,0.1303865278167085,347,0.9873954788693271
Spermine,C00750,Eubacterium_R sp000436835,-0.011804058674786634,0.3714704301928423,347,0.9873954788693271
Spermine,C00750,Veillonella atypica,0.014922928701813597,0.3069311731665705,347,0.9873954788693271
Spermine,C00750,Streptococcus sp001556435,-0.002266974723061111,0.8720799664276465,347,0.9873954788693271
Spermine,C00750,Brachyspira aalborgi,0.0029522148449668446,0.8428490455569939,347,0.9873954788693271
Spermine,C00750,Alistipes avistercoris,-0.012006661029299552,0.4340299996342777,347,0.9873954788693271
Spermine,C00750,Escherichia sp005843885,-0.018503858763080614,0.2065631151570657,347,0.9873954788693271
Spermine,C00750,Bacteroides sp002491635,-0.0021582348147599667,0.8694372906575824,347,0.9873954788693271
Spermine,C00750,Bacteroides sp900556625,0.004531117592060004,0.7307493150528375,347,0.9873954788693271
Spermine,C00750,RUG705 sp905188025,0.005496547877877056,0.6868614531816826,347,0.9873954788693271
Spermine,C00750,Lachnospira eligens,-0.013676228406705244,0.331743479440732,347,0.9873954788693271
Spermine,C00750,UBA5026 sp900557305,0.0018349996749675893,0.8924163004902023,347,0.9873954788693271
Spermine,C00750,Dorea formicigenerans,-0.011701337287617632,0.3982420946545827,347,0.9873954788693271
Spermine,C00750,Alistipes communis,0.006496226201958384,0.6348167385263771,347,0.9873954788693271
Putrescine,C00134,Lachnospira eligens_A,0.007732584726649437,0.4916132134932224,347,0.9873954788693271
Spermine,C00750,CAG-83 sp000431575,-0.018777728332918815,0.19902576787156168,347,0.9873954788693271
Spermine,C00750,Veillonella parvula_A,0.004928814698965265,0.7297847887683095,347,0.9873954788693271
Spermine,C00750,Flavonifractor plautii,0.013832307259672856,0.31696191758014386,347,0.9873954788693271
Spermine,C00750,Bacteroides intestinigallinarum,0.006066025868501706,0.6592622784811781,347,0.9873954788693271
Spermine,C00750,Parabacteroides goldsteinii,-0.0055101980033231,0.7058905569180779,347,0.9873954788693271
Spermine,C00750,Fimivicinus sp900544375,0.019040291688860504,0.18257236666885468,347,0.9873954788693271
Spermine,C00750,Parasutterella excrementihominis,-0.0016738298879876664,0.9107325702542923,347,0.9873954788693271
Spermine,C00750,Akkermansia muciniphila_B,0.0025336698733446467,0.8642897641903454,347,0.9873954788693271
Spermine,C00750,Blautia_A massiliensis,-0.010509470546423143,0.44384772632238834,347,0.9873954788693271
