met_name,met_base,taxon,pathway,mean_flux,std_flux,n_samples,taxon_full
Glycine,gly,subtilis,Amino Acid,94.61303591111353,1.5289274591786024,3,Bacillus subtilis
Guanine,gua,enoeca,Other,94.51958077135886,,1,Prevotella enoeca
Thymidine,thymd,kashiwanohense,Other,94.47868333536724,,1,Bifidobacterium kashiwanohense
D-Alanine,ala_D,dentocariosa,Other,94.4250338194918,2.51732298701493,4,Rothia dentocariosa
Hydrogen Sulfide,h2s,hydrophila,Other,94.42363985658343,,1,Aeromonas hydrophila
Proton,h,jalaludinii,Other,94.32618799061534,,1,Mitsuokella jalaludinii
Uridine,uri,cloacae,Other,94.27496460825071,1.2993807427855695,8,Enterobacter cloacae
Uridine,uri,hormaechei,Other,94.25368561194914,0.9923411694766587,5,Enterobacter hormaechei
Phenylalanine,phe_L,kashiwanohense,Other,94.16064177689283,4.876898888167159,58,Bifidobacterium kashiwanohense
Inosine,ins,youngae,Other,94.13692816086528,2.8503289685271738,2,Citrobacter youngae
Thymidine,thymd,salyersiae,Other,94.12721911005072,,1,Bacteroides salyersiae
Uridine,uri,graminisolvens,Other,94.1221285670715,,1,Bacteroides graminisolvens
Uridine,uri,ascorbata,Other,94.04616611182968,2.0504714302402287,3,Kluyvera ascorbata
Indole,indole,virosa,Other,94.03499833406056,15.810089228280182,58,Butyricimonas virosa
Propionate,ppa,parasanguinis,SCFA,94.0209384391667,,1,Streptococcus parasanguinis
Phenylalanine,phe_L,buccae,Other,93.98679308773372,2.9540669469551566,9,Prevotella buccae
Fumarate,fum,hypermegale,Other,93.98542203459363,3.339445225357406,3,Megamonas hypermegale
Deoxyguanosine,dgsn,peroris,Other,93.97627662645529,,1,Streptococcus peroris
Glycerol-3-Phosphate,glyc3p,enterica,Other,93.88386880113327,,1,Salmonella enterica
Guanine,gua,bivia,Other,93.82570854526284,1.621194763275374,22,Prevotella bivia
Cysteine,cys_L,asburiae,Other,93.77913443531645,6.493759916953133,6,Enterobacter asburiae
Deoxyadenosine,dad_2,caviae,Other,93.77223505768676,,1,Veillonella caviae
Deoxycytidine,dcyt,bivia,Other,93.72609098638618,,1,Prevotella bivia
Putrescine,ptrc,elsdenii,Polyamine,93.7146169930519,,1,Megasphaera elsdenii
3mop,3mop,liquefaciens,Other,93.70954589249145,,1,Serratia liquefaciens
Glutamate,glu_L,paraputrificum,Amino Acid,93.68454725817898,,1,Clostridium paraputrificum
tym,tym,aphrophilus,Other,93.6779341162896,,1,Aggregatibacter aphrophilus
Indole,indole,albertii,Other,93.66836026325777,7.185737449626145,5,Escherichia albertii
Aspartate,asp_L,dentocariosa,Amino Acid,93.59732805570965,,1,Rothia dentocariosa
Indole,indole,fergusonii,Other,93.59049584957107,10.94935402819147,12,Escherichia fergusonii
Adenosine,adn,asburiae,Other,93.50908096836956,0.988303885518625,3,Enterobacter asburiae
Glycine,gly,gingivalis,Amino Acid,93.48366118089618,,1,Porphyromonas gingivalis
Water,h2o,intestini,Other,93.47495822120436,,1,Murimonas intestini
Methionine,met_L,vestibularis,Amino Acid,93.46072236850087,,1,Streptococcus vestibularis
Thymidine,thymd,curtisii,Other,93.41816272143325,,1,Mobiluncus curtisii
Uridine,uri,desulfuricans,Other,93.38679280439544,1.476809628959044,4,Desulfovibrio desulfuricans
Adenosine,adn,oxytoca,Other,93.38402843532727,0.8829550234373923,5,Klebsiella oxytoca
Glutamine,gln_L,endodontalis,Amino Acid,93.37585013722128,,1,Porphyromonas endodontalis
Deoxycytidine,dcyt,cloacae,Other,93.32284253819694,,1,Enterobacter cloacae
Alanine,ala_L,bivia,Amino Acid,93.32185862073511,,1,Prevotella bivia
Deoxyadenosine,dad_2,nucleatum,Other,93.29122781377978,1.16873330533428,2,Fusobacterium nucleatum
Adenosine,adn,media,Other,93.26360753823668,,1,Aeromonas media
Phenylalanine,phe_L,scardovii,Other,93.17566053074839,4.829992617730637,2,Bifidobacterium scardovii
Threonine,thr_L,vestibularis,Amino Acid,93.16161525807567,10.832979324677911,5,Streptococcus vestibularis
Arginine,arg_L,caviae,Polyamine,93.02905361971321,,1,Veillonella caviae
Indole,indole,clarus,Other,93.01980885879568,15.090892413853352,46,Bacteroides clarus
Uridine,uri,oleiciplenus,Other,92.94780126319239,16.535721164602165,29,Bacteroides oleiciplenus
Phenylalanine,phe_L,hydrophila,Other,92.92762102164352,,1,Aeromonas hydrophila
Phosphate,pi,albensis,Other,92.84035674257532,3.206829047695686,5,Prevotella albensis
Glycine,gly,sinus,Amino Acid,92.81878387254824,,1,Oribacterium sinus
Glycine,gly,angulatum,Amino Acid,92.80013003420103,6.904650631881561,5,Bifidobacterium angulatum
Acetate,ac,endodontalis,SCFA,92.72491068105883,,1,Porphyromonas endodontalis
Phenylalanine,phe_L,bryantii,Other,92.72490728193416,6.46710105104796,8,Prevotella bryantii
Ornithine,orn,naeslundii,Polyamine,92.71715999209509,2.657910792215397,4,Actinomyces naeslundii
Phenylalanine,phe_L,morganii,Other,92.6743060266373,2.983977110009548,3,Morganella morganii
Glutamate,glu_L,dentocariosa,Amino Acid,92.65253390507964,4.411699532949289,2,Rothia dentocariosa
Alpha-Ketoglutarate,akg,corrodens,Other,92.6478469367934,,1,Eikenella corrodens
